Size,Type,Sort,TimeMs,CharComparisons
1800,Random,merge_lcp,3.6426,15515
1800,Random,msd_radix,0.50894,4117
1800,Random,msd_radix_quick,0.15418,8882
1800,Reverse,std_sort,0.12006,24206
1800,Reverse,std_stable_sort,0.10076,13327
1800,Reverse,string_quick,0.4443,60712
1800,Reverse,merge_lcp,3.96832,6737
1800,Reverse,msd_radix,0.6726,4345
1800,Reverse,msd_radix_quick,0.29918,30957
1800,AlmostSorted,std_sort,0.20314,43822
1800,AlmostSorted,std_stable_sort,0.1097,23215
1800,AlmostSorted,string_quick,0.26126,33411
1800,AlmostSorted,merge_lcp,4.0347,7714
1800,AlmostSorted,msd_radix,0.8748,4311
1800,AlmostSorted,msd_radix_quick,0.18714,13503
1900,Random,std_sort,0.38006,35267
1900,Random,std_stable_sort,0.29608,28122
1900,Random,string_quick,0.27462,20848
1900,Random,merge_lcp,3.52536,16557
1900,Random,msd_radix,0.59806,4371
1900,Random,msd_radix_quick,0.15828,9483
1900,Reverse,std_sort,0.0703,25390
1900,Reverse,std_stable_sort,0.09838,13992
1900,Reverse,string_quick,0.45696,65600
1900,Reverse,merge_lcp,3.06918,7119
1900,Reverse,msd_radix,0.6451,4581
1900,Reverse,msd_radix_quick,0.2518,32572
1900,AlmostSorted,std_sort,0.16692,44172
1900,AlmostSorted,std_stable_sort,0.11078,23821
1900,AlmostSorted,string_quick,0.26008,38542
1900,AlmostSorted,merge_lcp,3.26054,8116
1900,AlmostSorted,msd_radix,0.72772,4562
1900,AlmostSorted,msd_radix_quick,0.11898,14174
2000,Random,std_sort,0.25416,39032
2000,Random,std_stable_sort,0.2777,29565
2000,Random,string_quick,0.38442,22347
2000,Random,merge_lcp,3.51452,17568
2000,Random,msd_radix,0.5477,4614
2000,Random,msd_radix_quick,0.13846,10111
2000,Reverse,std_sort,0.07232,26496
2000,Reverse,std_stable_sort,0.09886,14734
2000,Reverse,string_quick,0.7223,71843
2000,Reverse,merge_lcp,3.10474,7594
2000,Reverse,msd_radix,0.6988,4818
2000,Reverse,msd_radix_quick,0.30214,34133
2000,AlmostSorted,std_sort,0.33428,46806
2000,AlmostSorted,std_stable_sort,0.14218,25071
2000,AlmostSorted,string_quick,0.2786,42298
2000,AlmostSorted,merge_lcp,3.26098,8399
2000,AlmostSorted,msd_radix,0.73906,4806
2000,AlmostSorted,msd_radix_quick,0.15646,14921
2100,Random,std_sort,0.32908,39980
2100,Random,std_stable_sort,0.32348,31174
2100,Random,string_quick,0.43834,28963
2100,Random,merge_lcp,4.00998,18555
2100,Random,msd_radix,0.67992,4865
2100,Random,msd_radix_quick,0.2118,10820
2100,Reverse,std_sort,0.10306,29617
2100,Reverse,std_stable_sort,0.1285,15511
2100,Reverse,string_quick,0.68116,78598
2100,Reverse,merge_lcp,4.10658,7900
2100,Reverse,msd_radix,0.7527,5065
2100,Reverse,msd_radix_quick,0.31656,36059
2100,AlmostSorted,std_sort,0.23664,49964
2100,AlmostSorted,std_stable_sort,0.14464,26205
2100,AlmostSorted,string_quick,0.36426,46454
2100,AlmostSorted,merge_lcp,3.62482,8893
2100,AlmostSorted,msd_radix,0.70662,5032
2100,AlmostSorted,msd_radix_quick,0.1914,15661
2200,Random,std_sort,0.3287,43612
2200,Random,std_stable_sort,0.33988,32663
2200,Random,string_quick,0.3291,22888
2200,Random,merge_lcp,4.47702,19470
2200,Random,msd_radix,0.64284,5131
2200,Random,msd_radix_quick,0.1661,11452
2200,Reverse,std_sort,0.09996,33719
2200,Reverse,std_stable_sort,0.11598,16343
2200,Reverse,string_quick,0.55552,83646
2200,Reverse,merge_lcp,3.9573,8152
2200,Reverse,msd_radix,0.90844,5310
2200,Reverse,msd_radix_quick,0.30136,37584
2200,AlmostSorted,std_sort,0.19762,54022
2200,AlmostSorted,std_stable_sort,0.1372,27262
2200,AlmostSorted,string_quick,0.6819,50971
2200,AlmostSorted,merge_lcp,3.62288,9296
2200,AlmostSorted,msd_radix,0.68908,5261
2200,AlmostSorted,msd_radix_quick,0.2042,16383
2300,Random,std_sort,0.34332,43946
2300,Random,std_stable_sort,0.35794,34504
2300,Random,string_quick,0.4541,26504
2300,Random,merge_lcp,4.79318,20571
2300,Random,msd_radix,0.71284,5411
2300,Random,msd_radix_quick,0.42138,12203
2300,Reverse,std_sort,0.11252,35132
2300,Reverse,std_stable_sort,0.14628,17089
2300,Reverse,string_quick,0.88084,90737
2300,Reverse,merge_lcp,4.21774,8448
2300,Reverse,msd_radix,0.8128,5548
2300,Reverse,msd_radix_quick,0.41356,39377
2300,AlmostSorted,std_sort,0.22814,55802
2300,AlmostSorted,std_stable_sort,0.19854,28659
2300,AlmostSorted,string_quick,0.47756,55732
2300,AlmostSorted,merge_lcp,5.7968,9836
2300,AlmostSorted,msd_radix,1.1036,5498
2300,AlmostSorted,msd_radix_quick,0.1881,17052
2400,Random,std_sort,0.47048,47310
2400,Random,std_stable_sort,0.454,36045
2400,Random,string_quick,0.399,27472
2400,Random,merge_lcp,5.82854,21584
2400,Random,msd_radix,0.81732,5667
2400,Random,msd_radix_quick,0.20786,12904
2400,Reverse,std_sort,0.11542,36468
2400,Reverse,std_stable_sort,0.16944,17893
2400,Reverse,string_quick,0.85074,99168
2400,Reverse,merge_lcp,4.48948,8907
2400,Reverse,msd_radix,0.88896,5790
2400,Reverse,msd_radix_quick,0.38854,41363
2400,AlmostSorted,std_sort,0.36336,60759
2400,AlmostSorted,std_stable_sort,0.20612,30114
2400,AlmostSorted,string_quick,0.5059,60396
2400,AlmostSorted,merge_lcp,5.2147,10425
2400,AlmostSorted,msd_radix,0.79792,5732
2400,AlmostSorted,msd_radix_quick,0.19304,17750
2500,Random,std_sort,0.41636,49894
2500,Random,std_stable_sort,0.4738,37663
2500,Random,string_quick,0.43554,27135
2500,Random,merge_lcp,5.00232,22656
2500,Random,msd_radix,0.79956,5920
2500,Random,msd_radix_quick,0.21856,13569
2500,Reverse,std_sort,0.12564,37906
2500,Reverse,std_stable_sort,0.14442,18693
2500,Reverse,string_quick,0.8633,105184
2500,Reverse,merge_lcp,4.8417,9291
2500,Reverse,msd_radix,0.84922,6030
2500,Reverse,msd_radix_quick,0.42946,42817
2500,AlmostSorted,std_sort,0.3282,70250
2500,AlmostSorted,std_stable_sort,0.16392,31181
2500,AlmostSorted,string_quick,0.48822,65404
2500,AlmostSorted,merge_lcp,4.54188,10824
2500,AlmostSorted,msd_radix,0.75328,5965
2500,AlmostSorted,msd_radix_quick,0.16786,18483
2600,Random,std_sort,0.36462,52052
2600,Random,std_stable_sort,0.45024,39285
2600,Random,string_quick,0.39986,28361
2600,Random,merge_lcp,5.17118,23645
2600,Random,msd_radix,0.8575,6182
2600,Random,msd_radix_quick,0.2184,14324
2600,Reverse,std_sort,0.12304,39243
2600,Reverse,std_stable_sort,0.15514,19645
2600,Reverse,string_quick,0.84706,112189
2600,Reverse,merge_lcp,4.78682,9737
2600,Reverse,msd_radix,0.87282,6278
2600,Reverse,msd_radix_quick,0.36398,44588
2600,AlmostSorted,std_sort,0.24306,70847
2600,AlmostSorted,std_stable_sort,0.14592,32255
2600,AlmostSorted,string_quick,0.53488,69650
2600,AlmostSorted,merge_lcp,4.20016,11523
2600,AlmostSorted,msd_radix,1.03646,6226
2600,AlmostSorted,msd_radix_quick,0.1706,19277
2700,Random,std_sort,0.41506,54262
2700,Random,std_stable_sort,0.35788,41593
2700,Random,string_quick,0.46916,29949
2700,Random,merge_lcp,4.91828,24710
2700,Random,msd_radix,0.88822,6451
2700,Random,msd_radix_quick,0.21262,15051
2700,Reverse,std_sort,0.16776,40523
2700,Reverse,std_stable_sort,0.14454,20543
2700,Reverse,string_quick,0.84732,120683
2700,Reverse,merge_lcp,5.66398,9923
2700,Reverse,msd_radix,1.0878,6515
2700,Reverse,msd_radix_quick,0.456,46287
2700,AlmostSorted,std_sort,0.27392,57372
2700,AlmostSorted,std_stable_sort,0.21372,34255
2700,AlmostSorted,string_quick,0.58104,74992
2700,AlmostSorted,merge_lcp,6.28232,11908
2700,AlmostSorted,msd_radix,1.03776,6466
2700,AlmostSorted,msd_radix_quick,0.26886,19994
2800,Random,std_sort,0.57114,55005
2800,Random,std_stable_sort,0.51456,43177
2800,Random,string_quick,0.46862,32899
2800,Random,merge_lcp,5.98838,25742
2800,Random,msd_radix,1.26054,6729
2800,Random,msd_radix_quick,0.25754,15634
2800,Reverse,std_sort,0.15008,41603
2800,Reverse,std_stable_sort,0.20926,21332
2800,Reverse,string_quick,0.96464,128268
2800,Reverse,merge_lcp,5.80404,10362
2800,Reverse,msd_radix,1.0576,6754
2800,Reverse,msd_radix_quick,0.39684,47757
2800,AlmostSorted,std_sort,0.17528,46880
2800,AlmostSorted,std_stable_sort,0.31164,35382
2800,AlmostSorted,string_quick,0.58482,79959
2800,AlmostSorted,merge_lcp,6.29154,12413
2800,AlmostSorted,msd_radix,0.9598,6708
2800,AlmostSorted,msd_radix_quick,0.2855,20687
2900,Random,std_sort,0.5028,59241
2900,Random,std_stable_sort,0.53312,44773
2900,Random,string_quick,0.59158,31940
2900,Random,merge_lcp,7.00182,26834
2900,Random,msd_radix,1.3102,6989
2900,Random,msd_radix_quick,0.36122,16320
2900,Reverse,std_sort,0.1884,42890
2900,Reverse,std_stable_sort,0.18686,22053
2900,Reverse,string_quick,1.21052,136172
2900,Reverse,merge_lcp,6.10208,10573
